Freq.	V(output)
1.00000000000000e-001	(4.57213613668645e+000dB,4.69821218391503e+001°)
1.25892541179417e-001	(5.77527522299897e+000dB,5.32572481182546e+001°)
1.58489319246111e-001	(7.18482284156909e+000dB,5.90474490052003e+001°)
1.99526231496888e-001	(8.76580645174041e+000dB,6.41327500514727e+001°)
2.51188643150958e-001	(1.04782877020330e+001dB,6.84052308251625e+001°)
3.16227766016838e-001	(1.22854123024494e+001dB,7.18479552359587e+001°)
3.98107170553497e-001	(1.41572762939107e+001dB,7.44986830585199e+001°)
5.01187233627272e-001	(1.60714079209157e+001dB,7.64169447930180e+001°)
6.30957344480193e-001	(1.80114918772761e+001dB,7.76613277993977e+001°)
7.94328234724282e-001	(1.99655389107686e+001dB,7.82763026933670e+001°)
1.00000000000000e+000	(2.19240663427611e+001dB,7.82856041664426e+001°)
1.25892541179417e+000	(2.38784228407359e+001dB,7.76895785744425e+001°)
1.58489319246111e+000	(2.58191823769030e+001dB,7.64651366535862e+001°)
1.99526231496888e+000	(2.77344730600563e+001dB,7.45682871175623e+001°)
2.51188643150958e+000	(2.96081612925855e+001dB,7.19405647399244e+001°)
3.16227766016838e+000	(3.14180132820858e+001dB,6.85219043624659e+001°)
3.98107170553498e+000	(3.31343789863374e+001dB,6.42729675316563e+001°)
5.01187233627273e+000	(3.47205774068431e+001dB,5.92077624204382e+001°)
6.30957344480194e+000	(3.61366093172423e+001dB,5.34300974478469e+001°)
7.94328234724282e+000	(3.73470645834898e+001dB,4.71557121731274e+001°)
1.00000000000000e+001	(3.83312888795223e+001dB,4.06962786843873e+001°)
1.25892541179417e+001	(3.90906086835209e+001dB,3.43977327835708e+001°)
1.58489319246112e+001	(3.96478097224150e+001dB,2.85593069721494e+001°)
1.99526231496888e+001	(4.00392533099416e+001dB,2.33764609729499e+001°)
2.51188643150958e+001	(4.03047689458695e+001dB,1.89298244063975e+001°)
3.16227766016838e+001	(4.04801808091650e+001dB,1.52092532962908e+001°)
3.98107170553498e+001	(4.05939388811409e+001dB,1.21493533738660e+001°)
5.01187233627273e+001	(4.06668271738192e+001dB,9.66007712710947e+000°)
6.30957344480194e+001	(4.07131892018092e+001dB,7.64700071287299e+000°)
7.94328234724283e+001	(4.07425554179039e+001dB,6.02222106339718e+000°)
1.00000000000000e+002	(4.07611090957741e+001dB,4.70879925644133e+000°)
1.25892541179417e+002	(4.07728057303127e+001dB,3.64151790251819e+000°)
1.58489319246112e+002	(4.07801544310835e+001dB,2.76587082774898e+000°)
1.99526231496888e+002	(4.07847363859232e+001dB,2.03637927886083e+000°)
2.51188643150958e+002	(4.07875389397413e+001dB,1.41476832583373e+000°)
3.16227766016839e+002	(4.07891664540505e+001dB,8.68222905393035e-001°)
3.98107170553498e+002	(4.07899700405966e+001dB,3.67786704348743e-001°)
5.01187233627273e+002	(4.07901231259854e+001dB,-1.13104632675636e-001°)
6.30957344480194e+002	(4.07896588469041e+001dB,-5.99995234526108e-001°)
7.94328234724283e+002	(4.07884772839838e+001dB,-1.11873691301520e+000°)
1.00000000000000e+003	(4.07863241615792e+001dB,-1.69682774470218e+000°)
1.25892541179417e+003	(4.07827366560791e+001dB,-2.36481375786814e+000°)
1.58489319246112e+003	(4.07769452418079e+001dB,-3.15779764694013e+000°)
1.99526231496888e+003	(4.07677119564874e+001dB,-4.11707758584104e+000°)
2.51188643150959e+003	(4.07530740730655e+001dB,-5.29189304477151e+000°)
3.16227766016839e+003	(4.07299474470991e+001dB,-6.74115816896932e+000°)
3.98107170553498e+003	(4.06935272933909e+001dB,-8.53487303332819e+000°)
5.01187233627273e+003	(4.06364129202358e+001dB,-1.07545505407883e+001°)
6.30957344480195e+003	(4.05473972339370e+001dB,-1.34913993796551e+001°)
7.94328234724283e+003	(4.04099473011794e+001dB,-1.68401363759490e+001°)
1.00000000000000e+004	(4.02006392878720e+001dB,-2.08854251083261e+001°)
1.25892541179417e+004	(3.98882832943859e+001dB,-2.56780713114407e+001°)
1.58489319246112e+004	(3.94351087836867e+001dB,-3.12014590618219e+001°)
1.99526231496889e+004	(3.88016234816626e+001dB,-3.73375505185570e+001°)
2.51188643150959e+004	(3.79554866011283e+001dB,-4.38533829049134e+001°)
3.16227766016839e+004	(3.68815103143603e+001dB,-5.04302101772297e+001°)
3.98107170553498e+004	(3.55871774794247e+001dB,-5.67346553538933e+001°)
5.01187233627274e+004	(3.40998804731733e+001dB,-6.24978014760979e+001°)
6.30957344480195e+004	(3.24578407086496e+001dB,-6.75610559504947e+001°)
7.94328234724284e+004	(3.07003308657799e+001dB,-7.18757760893815e+001°)
1.00000000000000e+005	(2.88613339226994e+001dB,-7.54736440342237e+001°)
